iter	Logloss
0	0.66718097
1	0.6429783256
2	0.6206041501
3	0.5999687151
4	0.5806241386
5	0.5627021287
6	0.5456119681
7	0.5301084829
8	0.5149993204
9	0.5012981824
10	0.4884601402
11	0.4763860098
12	0.4650924255
13	0.4548708404
14	0.4453685128
15	0.4360743308
16	0.4277783237
17	0.4201196913
18	0.413019179
19	0.4061035398
20	0.3998317458
21	0.3938320738
22	0.3884314491
23	0.3830659616
24	0.3781037818
25	0.3735777689
26	0.3692465958
27	0.3651653772
28	0.3612629145
29	0.3575336435
30	0.3541249523
31	0.3511249831
32	0.3481237568
33	0.345191167
34	0.3427077234
35	0.3402217415
36	0.337880143
37	0.3356559404
38	0.3335522243
39	0.3316998939
40	0.3298345483
41	0.3281648724
42	0.3264860706
43	0.3249065255
44	0.3234060951
45	0.3219369036
46	0.3206083621
47	0.3193423631
48	0.3181379622
49	0.3169601468
50	0.3158578084
51	0.3147624593
52	0.3137626955
53	0.312828415
54	0.3119159122
55	0.3109993926
56	0.310144876
57	0.3093312996
58	0.3085239312
59	0.3077500189
60	0.3070410842
61	0.3063510898
62	0.3057055112
63	0.3050243596
64	0.3043903038
65	0.303765106
66	0.3031579431
67	0.3025743128
68	0.3020053155
69	0.3014871494
70	0.3009472034
71	0.3004255739
72	0.2999555187
73	0.2994361925
74	0.2989500023
75	0.2985077241
76	0.2980412942
77	0.2975902549
78	0.2971554016
79	0.2967383012
80	0.2963578224
81	0.2959600486
82	0.295571856
83	0.2951423473
84	0.2947515281
85	0.2943768406
86	0.2939927093
87	0.2936374787
88	0.2932845609
89	0.2929360499
90	0.2925707571
91	0.2922501308
92	0.2919323714
93	0.2915838956
94	0.2912392999
95	0.2908969698
96	0.2905652935
97	0.2902439288
98	0.2899501216
99	0.2896690963
100	0.2893511622
101	0.2890585581
102	0.2887661652
103	0.2884795567
104	0.2881921005
105	0.2879141559
106	0.2876388056
107	0.2873483236
108	0.2870488308
109	0.2867602494
110	0.2864860844
111	0.2862204889
112	0.2859370814
113	0.285652432
114	0.2853832694
115	0.2851339271
116	0.284875177
117	0.2846134455
118	0.2843516137
119	0.2840949546
120	0.28385302
121	0.2835840638
122	0.2833415447
123	0.2830917863
124	0.2828539139
125	0.282599169
126	0.2823495051
127	0.2821168031
128	0.2818777501
129	0.2816199597
130	0.2813889039
131	0.2811545041
132	0.2809190631
133	0.2806989385
134	0.2804582278
135	0.2802221134
136	0.2800042727
137	0.2797685823
138	0.2795158019
139	0.2792924527
140	0.2790674337
141	0.2788355803
142	0.2786143448
143	0.2783976235
144	0.278164932
145	0.2779461377
146	0.2777270184
147	0.2775252054
148	0.2773121177
149	0.2770903136
150	0.2768838889
151	0.2766684453
152	0.2764510155
153	0.2762288204
154	0.2760116991
155	0.275794851
156	0.2755638366
157	0.2753608613
158	0.2751582142
159	0.2749551327
160	0.2747386388
161	0.2745339126
162	0.2743299315
163	0.2741409687
164	0.2739402421
165	0.2737623449
166	0.2735482134
167	0.2733644515
168	0.2731613607
169	0.272966729
170	0.2727713881
171	0.272569148
172	0.2723756201
173	0.2721935888
174	0.2719948062
175	0.271806201
176	0.2716070139
177	0.2714036144
178	0.2712122228
179	0.2710199648
180	0.2708392309
181	0.2706598344
182	0.2704978427
183	0.2703148955
184	0.2701285068
185	0.2699650263
186	0.2697822249
187	0.2696129955
188	0.2694407123
189	0.2692696829
190	0.2690826601
191	0.2689171599
192	0.2687297858
193	0.2685404822
194	0.2683563519
195	0.2681874687
196	0.2680169722
197	0.2678500708
198	0.2676862511
199	0.2675133016
200	0.2673400583
201	0.2671533239
202	0.2669818931
203	0.2668167041
204	0.2666581445
205	0.266501605
206	0.2663157537
207	0.2661493658
208	0.2659882926
209	0.2658225674
210	0.2656672449
211	0.2655043931
212	0.2653538234
213	0.2651817275
214	0.2650177558
215	0.2648616936
216	0.2647086907
217	0.2645421695
218	0.2643716812
219	0.2642239211
220	0.2640583772
221	0.2638912813
222	0.2637240948
223	0.2635697406
224	0.2634126757
225	0.2632645702
226	0.2630991328
227	0.262925105
228	0.2627777702
229	0.2626352013
230	0.2624955967
231	0.2623331805
232	0.2622014969
233	0.2620423657
234	0.2618962269
235	0.2617512746
236	0.2616064966
237	0.2614507741
238	0.2612914366
239	0.2611249549
240	0.2609814967
241	0.2608358037
242	0.2606738973
243	0.2605107745
244	0.26037419
245	0.260218788
246	0.2600858446
247	0.2599391652
248	0.2598055325
249	0.2596684709
250	0.2595298326
251	0.2593951081
252	0.2592577625
253	0.2591117711
254	0.2589747262
255	0.2588329531
256	0.258695516
257	0.258543416
258	0.2584113982
259	0.2582549396
260	0.2581142581
261	0.2579809757
262	0.2578525172
263	0.257719566
264	0.2575734655
265	0.2574407891
266	0.2573029416
267	0.257167909
