iter	Passed	Remaining
0	105	317183
1	160	240239
2	215	215774
3	270	202664
4	327	196089
5	388	194047
6	442	189207
7	493	184492
8	541	180093
9	594	177747
10	644	175132
11	691	172196
12	744	171115
13	797	170071
14	846	168466
15	896	167203
16	955	167619
17	1008	167072
18	1064	166981
19	1118	166717
20	1171	166132
21	1218	164889
22	1275	165068
23	1328	164756
24	1385	164879
25	1435	164191
26	1479	162930
27	1546	164117
28	1595	163443
29	1641	162556
30	1688	161697
31	1736	161028
32	1782	160289
33	1831	159786
34	1879	159199
35	1933	159174
36	1981	158708
37	2031	158373
38	2086	158385
39	2134	157945
40	2181	157414
41	2230	157076
42	2277	156597
43	2324	156148
44	2370	155641
45	2416	155182
46	2466	154991
47	2518	154858
48	2566	154566
49	2613	154218
50	2660	153834
51	2711	153711
52	2757	153335
53	2805	153059
54	2853	152813
55	2905	152723
56	2951	152387
57	3000	152222
58	3049	152001
59	3095	151669
60	3146	151615
61	3193	151326
62	3239	151027
63	3285	150735
64	3332	150455
65	3378	150200
66	3425	149937
67	3473	149767
68	3522	149613
69	3568	149369
70	3618	149257
71	3666	149114
72	3714	148951
73	3762	148769
74	3813	148708
75	3859	148489
76	3912	148541
77	3959	148346
78	4009	148246
79	4058	148148
80	4104	147916
81	4151	147740
82	4198	147555
83	4249	147520
84	4295	147320
85	4342	147134
86	4389	146966
87	4439	146905
88	4486	146746
89	4532	146546
90	4581	146446
91	4627	146263
92	4673	146085
93	4723	146030
94	4772	145930
95	4818	145755
96	4866	145649
97	4913	145497
98	4963	145452
99	5008	145238
100	5055	145115
101	5105	145046
102	5152	144927
103	5198	144754
104	5245	144636
105	5291	144462
106	5337	144314
107	5384	144180
108	5433	144100
109	5484	144086
110	5531	143957
111	5577	143826
112	5627	143779
113	5676	143700
114	5722	143562
115	5771	143487
116	5821	143447
117	5867	143313
118	5913	143158
119	5964	143159
120	6013	143086
121	6059	142947
122	6106	142830
123	6152	142690
124	6198	142558
125	6249	142537
126	6299	142512
127	6353	142549
128	6400	142450
129	6457	142565
130	6512	142638
131	6564	142626
132	6624	142807
133	6682	142931
134	6735	142945
135	6801	143239
136	6855	143261
137	6901	143125
138	6952	143101
139	7000	143005
140	7049	142930
141	7100	142913
142	7150	142863
143	7199	142799
144	7251	142781
145	7299	142686
146	7351	142688
147	7400	142600
148	7449	142534
149	7502	142542
150	7548	142422
151	7594	142303
152	7644	142249
153	7697	142254
154	7744	142140
155	7790	142022
156	7841	141991
157	7889	141908
158	7937	141819
159	7988	141792
160	8043	141835
161	8090	141730
162	8136	141614
163	8184	141525
164	8231	141439
165	8279	141345
166	8329	141308
167	8376	141211
168	8422	141087
169	8469	140986
170	8516	140895
171	8567	140859
172	8613	140760
173	8659	140641
174	8708	140583
175	8758	140533
176	8811	140536
177	8864	140536
178	8909	140412
179	8957	140340
180	9006	140265
181	9052	140158
182	9098	140050
183	9149	140025
184	9196	139936
185	9243	139847
186	9291	139777
187	9339	139690
188	9385	139591
189	9431	139488
190	9482	139460
191	9529	139370
192	9578	139307
193	9630	139289
194	9676	139196
195	9722	139096
196	9771	139034
197	9818	138941
198	9864	138848
199	9915	138810
200	9966	138788
201	10017	138761
202	10064	138673
203	10110	138569
204	10156	138479
205	10203	138389
206	10259	138427
207	10311	138409
208	10357	138315
209	10407	138265
210	10451	138153
211	10503	138131
212	10550	138047
213	10599	137995
214	10649	137952
215	10694	137843
216	10740	137743
217	10790	137702
218	10845	137721
219	10891	137628
220	10936	137528
221	10985	137461
222	11038	137460
223	11085	137384
224	11143	137430
225	11190	137352
226	11243	137349
227	11292	137290
228	11341	137237
229	11392	137210
230	11443	137175
231	11493	137134
232	11538	137027
233	11590	137002
234	11635	136900
235	11680	136803
236	11728	136737
237	11777	136674
238	11825	136612
239	11877	136593
240	11926	136530
241	11973	136458
242	12031	136505
243	12079	136433
244	12127	136377
245	12173	136288
246	12219	136197
